nsteps       simpsons                    milne
1.6094379124341          -8.42436914893974        -11.2178765171896
2.19722457733622          -11.1806957888343        -15.2431964069469
2.56494935746154          -12.7994792722912        -17.6516301412367
2.83321334405622          -13.9491257891939        -19.3692134845354
3.04452243772342          -14.841198438722        -20.7041383762158
3.2188758248682          -15.5702119897356        -21.7959301739144
3.36729582998647          -16.1866502164097        -22.7195454387084
3.49650756146648          -16.7206689922326        -23.5198969203718
3.61091791264422          -17.1917279179554        -24.2260116929506
3.71357206670431          -17.6131175733318        -24.8577695413051
3.80666248977032          -17.9943195235659        -25.4293460215244
3.89182029811063          -18.3423355877782        -25.9512005473545
3.97029191355212          -18.6624834122981        -26.4312246133661
4.04305126783455          -18.9588971035252        -26.8756869006684
4.11087386417331          -19.2348539600862        -27.2895717836714
4.17438726989564          -19.4929960858858        -27.6767669931386
4.23410650459726          -19.7354844202516        -28.0396210562874
4.29045944114839          -19.964109872789        -28.3838355122171
4.34380542185368          -20.180371690259        -28.7063864103197
4.39444915467244          -20.3855384745949        -29.0142398416353
4.44265125649032          -20.5806943433491        -29.3088423569316
4.48863636973214          -20.7667696606426        -29.5864740935299
4.53259949315326          -20.9445725684521        -29.8536275858406
4.57471097850338          -21.1148081620164        -30.1103474326884
4.61512051684126          -21.2780923723426        -30.3486141455768
4.79579054559674          -22.0073668785612        -31.4260242265943
4.94875989037817          -22.6239623571711        -32.3815356716218
5.08140436498446          -23.1580888385039        -33.3443464191308
5.19849703126583          -23.6292128677634        -33.749811527239
5.30330490805908          -24.0506501528319        -33.9039622070662
5.39816270151775          -24.4318988018084        -35.2902565681861
5.48479693349065          -24.7799243724568        -35.6957216762943
5.56452040732269          -25.1000999561226        -34.4429587077989
5.63835466933375          -25.3965836890384        -35.0025744957343
5.70711026474888          -25.6724974421558        -35.6957216762943
5.77144112313002          -25.9306632047878        -36.3888688568542
5.83188247728352          -26.1733847395349        -inf
5.88887795833288          -26.4015917785884        -36.3888688568542
5.9427993751267          -26.6183414315743        -35.0025744957343
5.99396142730657          -26.823514920266        -35.6957216762943
6.04263283368238          -27.0173454472867        -35.0025744957343
6.08904487544685          -27.2053859390479        -35.6957216762943
6.13339804299665          -27.3816243408885        -35.0025744957343
6.17586727010576          -27.5523495876518        -35.2902565681861
6.21660610108486          -27.7170679472116        -34.7794309444201
6.25575004175337          -27.8714756854353        -34.191644279518
6.29341927884648          -28.0248268449322        -34.4429587077989
6.3297209055227          -28.1706209301685        -34.3094273151744
6.36475075685191          -28.3095606648023        -35.0025744957343
6.39859493453521          -28.4433134286007        -34.4429587077989
6.43133108193348          -28.5756815893328        -34.0862837638602
6.46302945692067          -28.7008716904612        -34.4429587077989
6.49375383985169          -28.8303521138086        -35.0025744957343
6.52356230614951          -28.9463761340598        -34.4429587077989
6.55250788703459          -29.0630613542585        -34.3094273151744
6.58063913728495          -29.1773121235404        -35.2902565681861
6.60800062529609          -29.283082727373        -33.9909735840559
6.63463335786169          -29.3912728738723        -35.2902565681861
6.66057514983969          -29.4891457495694        -34.7794309444201
6.68586094706836          -29.5909284438793        -35.0025744957343
6.71052310945243          -29.7067602594044        -34.3094273151744
6.73459165997295          -29.7985678086575        -35.6957216762943
6.75809450442773          -29.8786105163311        -34.3094273151744
6.78105762593618          -29.9836403988234        -36.3888688568542
6.80350525760834          -30.0825935699062        -35.0025744957343
6.82546003625531          -30.1623321875668        -34.7794309444201
