nsteps       simpsons                    milne
8373          3.30167519916652e-15        5.34556937007912e-15
8449          3.93056571329347e-15        2.04389417091261e-15
8525          6.28890514126956e-16        7.86113142658695e-16
8601          2.67278468503956e-15        2.67278468503956e-15
8677          0        6.28890514126956e-16
8753          1.88667154238087e-15        4.71667885595217e-16
8829          2.35833942797608e-15        5.81723725567434e-15
8905          1.41500365678565e-15        1.57222628531739e-16
8981          4.24501097035695e-15        3.45889782769826e-15
9057          3.77334308476173e-15        4.55945622742043e-15
9133          3.30167519916652e-15        1.57222628531739e-16
9209          1.88667154238087e-15        3.14445257063478e-16
9285          1.72944891384913e-15        5.34556937007912e-15
9361          2.51556205650782e-15        7.86113142658695e-16
9437          3.45889782769826e-15        4.87390148448391e-15
9513          2.98722994210304e-15        1.57222628531739e-16
9589          1.72944891384913e-15        9.43335771190434e-16
9665          2.8300073135713e-15        2.35833942797608e-15
9741          1.10055839972217e-15        2.98722994210304e-15
9817          7.86113142658695e-16        6.91779565539651e-15
9893          1.72944891384913e-15        3.30167519916652e-15
9969          4.08778834182521e-15        4.71667885595217e-16
10045          2.67278468503956e-15        6.76057302686477e-15
10121          2.8300073135713e-15        1.88667154238087e-15
10197          6.28890514126956e-16        2.04389417091261e-15
10273          1.88667154238087e-15        9.59058034043607e-15
10349          3.14445257063478e-16        6.60335039833303e-15
10425          1.10055839972217e-15        2.35833942797608e-15
10501          1.88667154238087e-15        3.30167519916652e-15
10577          7.38946354099173e-15        3.93056571329347e-15
10653          3.45889782769826e-15        3.14445257063478e-16
10729          3.45889782769826e-15        1.57222628531739e-16
10805          1.10055839972217e-15        1.72944891384913e-15
10881          1.57222628531739e-16        3.14445257063478e-16
10957          2.35833942797608e-15        2.51556205650782e-15
11033          5.97445988420608e-15        3.14445257063478e-16
11109          6.76057302686477e-15        1.25778102825391e-15
11185          2.35833942797608e-15        1.57222628531739e-15
11261          4.55945622742043e-15        2.8300073135713e-15
11337          8.80446719777738e-15        7.38946354099173e-15
11413          4.71667885595217e-15        1.41500365678565e-15
11489          3.45889782769826e-15        5.18834674154738e-15
11565          6.28890514126956e-16        2.04389417091261e-15
11641          5.50279199861086e-15        6.13168251273782e-15
11717          3.14445257063478e-16        2.98722994210304e-15
11793          2.20111679944434e-15        1.88667154238087e-15
11869          3.14445257063478e-15        2.20111679944434e-15
11945          5.81723725567434e-15        4.71667885595217e-16
12021          1.57222628531739e-15        1.72944891384913e-15
12097          1.57222628531739e-15        4.71667885595217e-15
12173          7.07501828392825e-15        6.28890514126956e-16
12249          2.98722994210304e-15        0
12325          6.13168251273782e-15        4.71667885595217e-15
12401          3.61612045623e-15        2.20111679944434e-15
12477          1.10055839972217e-15        1.10055839972217e-15
12553          1.10055839972217e-15        2.35833942797608e-15
12629          6.91779565539651e-15        1.72944891384913e-15
12705          1.41500365678565e-15        5.6600146271426e-15
12781          1.57222628531739e-15        1.10055839972217e-15
12857          6.28890514126956e-16        4.08778834182521e-15
12933          7.86113142658695e-16        2.8300073135713e-15
13009          2.35833942797608e-15        1.10055839972217e-15
13085          6.60335039833303e-15        4.08778834182521e-15
13161          4.55945622742043e-15        1.72944891384913e-15
13237          3.45889782769826e-15        2.04389417091261e-15
13313          4.55945622742043e-15        2.67278468503956e-15
13389          1.57222628531739e-16        2.67278468503956e-15
13465          2.67278468503956e-15        2.51556205650782e-15
13541          0        2.04389417091261e-15
13617          9.11891245484086e-15        3.14445257063478e-16
13693          7.86113142658695e-16        1.57222628531739e-15
13769          2.35833942797608e-15        1.72944891384913e-15
13845          4.40223359888869e-15        4.71667885595217e-16
13921          3.93056571329347e-15        2.04389417091261e-15
13997          4.55945622742043e-15        4.71667885595217e-16
14073          2.35833942797608e-15        1.72944891384913e-15
14149          7.86113142658695e-16        2.98722994210304e-15
14225          5.18834674154738e-15        1.72944891384913e-15
14301          2.35833942797608e-15        2.35833942797608e-15
14377          1.57222628531739e-15        2.98722994210304e-15
14453          3.93056571329347e-15        2.35833942797608e-15
14529          6.28890514126956e-16        1.41500365678565e-15
14605          2.8300073135713e-15        2.51556205650782e-15
14681          2.8300073135713e-15        1.19489197684122e-14
14757          1.88667154238087e-15        2.35833942797608e-15
14833          3.30167519916652e-15        2.98722994210304e-15
14909          3.14445257063478e-16        6.28890514126956e-16
14985          2.98722994210304e-15        7.38946354099173e-15
15061          6.28890514126956e-16        5.50279199861086e-15
15137          4.71667885595217e-16        6.4461277698013e-15
15213          1.41500365678565e-15        1.25778102825391e-15
15289          3.14445257063478e-15        2.04389417091261e-15
15365          5.50279199861086e-15        4.24501097035695e-15
15441          5.18834674154738e-15        1.41500365678565e-15
15517          4.71667885595217e-16        0
15593          1.57222628531739e-16        1.88667154238087e-15
15669          3.14445257063478e-16        3.61612045623e-15
15745          0        2.67278468503956e-15
15821          3.93056571329347e-15        2.51556205650782e-15
15897          1.10055839972217e-14        7.86113142658695e-16
15973          6.76057302686477e-15        2.35833942797608e-15
16049          5.50279199861086e-15        3.93056571329347e-15
16125          2.20111679944434e-15        3.14445257063478e-16
16201          2.20111679944434e-15        6.28890514126956e-16
16277          3.14445257063478e-15        1.57222628531739e-15
16353          1.41500365678565e-15        1.25778102825391e-15
16429          1.72944891384913e-15        4.08778834182521e-15
16505          6.28890514126956e-15        4.55945622742043e-15
16581          5.03112411301565e-15        7.07501828392825e-15
16657          3.45889782769826e-15        5.97445988420608e-15
16733          3.61612045623e-15        7.07501828392825e-15
16809          2.35833942797608e-15        1.57222628531739e-15
16885          1.57222628531739e-15        1.10055839972217e-15
16961          1.57222628531739e-15        2.98722994210304e-15
17037          2.04389417091261e-15        5.6600146271426e-15
17113          1.57222628531739e-15        3.77334308476173e-15
17189          1.10055839972217e-15        2.51556205650782e-15
17265          3.30167519916652e-15        4.71667885595217e-16
17341          4.55945622742043e-15        2.04389417091261e-15
17417          2.98722994210304e-15        2.98722994210304e-15
17493          3.14445257063478e-15        4.55945622742043e-15
17569          1.88667154238087e-15        1.41500365678565e-15
17645          6.28890514126956e-16        3.45889782769826e-15
17721          2.20111679944434e-15        2.20111679944434e-15
17797          3.45889782769826e-15        3.45889782769826e-15
17873          7.38946354099173e-15        5.81723725567434e-15
17949          1.57222628531739e-16        5.18834674154738e-15
18025          4.08778834182521e-15        3.93056571329347e-15
18101          2.20111679944434e-15        4.71667885595217e-15
18177          6.60335039833303e-15        1.88667154238087e-15
18253          0        8.80446719777738e-15
18329          4.71667885595217e-15        5.34556937007912e-15
18405          4.71667885595217e-16        4.71667885595217e-16
18481          1.10055839972217e-15        1.41500365678565e-15
18557          1.57222628531739e-16        5.50279199861086e-15
18633          1.25778102825391e-15        4.40223359888869e-15
18709          2.04389417091261e-15        2.67278468503956e-15
18785          3.14445257063478e-16        1.88667154238087e-15
18861          3.61612045623e-15        3.93056571329347e-15
18937          7.07501828392825e-15        2.04389417091261e-15
19013          9.43335771190434e-16        5.6600146271426e-15
19089          7.38946354099173e-15        3.30167519916652e-15
19165          2.98722994210304e-15        6.60335039833303e-15
19241          3.14445257063478e-16        6.13168251273782e-15
19317          5.97445988420608e-15        5.34556937007912e-15
19393          1.88667154238087e-15        7.86113142658695e-16
19469          6.28890514126956e-16        1.41500365678565e-15
19545          3.14445257063478e-15        3.14445257063478e-16
19621          1.41500365678565e-15        9.43335771190434e-16
19697          2.35833942797608e-15        2.04389417091261e-15
19773          3.14445257063478e-16        4.71667885595217e-15
19849          2.98722994210304e-15        1.10055839972217e-15
19925          9.43335771190434e-16        9.43335771190434e-16
20001          2.67278468503956e-15        2.67278468503956e-15
20077          7.86113142658695e-16        1.41500365678565e-15
20153          1.72944891384913e-15        1.25778102825391e-15
20229          4.40223359888869e-15        0
20305          2.98722994210304e-15        4.40223359888869e-15
20381          2.8300073135713e-15        2.35833942797608e-15
20457          6.28890514126956e-16        2.20111679944434e-15
20533          3.14445257063478e-15        3.14445257063478e-15
20609          3.61612045623e-15        7.38946354099173e-15
20685          3.14445257063478e-16        3.61612045623e-15
20761          6.13168251273782e-15        6.13168251273782e-15
20837          7.86113142658695e-16        7.54668616952347e-15
20913          1.60367081102374e-14        6.28890514126956e-16
20989          1.05339161116265e-14        2.67278468503956e-15
21065          0        7.86113142658695e-16
21141          1.57222628531739e-16        3.14445257063478e-15
21217          1.57222628531739e-16        1.10055839972217e-15
21293          3.14445257063478e-16        2.04389417091261e-15
21369          1.41500365678565e-15        1.10055839972217e-15
21445          3.14445257063478e-16        1.24205876540074e-14
21521          4.40223359888869e-15        2.98722994210304e-15
21597          0        5.81723725567434e-15
21673          3.45889782769826e-15        4.71667885595217e-16
21749          5.34556937007912e-15        3.30167519916652e-15
21825          2.51556205650782e-15        1.25778102825391e-15
21901          6.28890514126956e-16        1.13200292542852e-14
21977          1.88667154238087e-15        5.97445988420608e-15
22053          5.18834674154738e-15        4.55945622742043e-15
22129          4.08778834182521e-15        1.10055839972217e-15
22205          4.40223359888869e-15        7.38946354099173e-15
22281          1.10055839972217e-15        1.10055839972217e-15
22357          7.86113142658695e-15        3.14445257063478e-15
22433          4.71667885595217e-16        6.28890514126956e-15
22509          2.20111679944434e-15        7.70390879805521e-15
22585          6.4461277698013e-15        2.20111679944434e-15
22661          8.96168982630912e-15        4.71667885595217e-16
22737          5.50279199861086e-15        6.28890514126956e-15
22813          9.11891245484086e-15        5.18834674154738e-15
22889          3.14445257063478e-16        3.61612045623e-15
22965          2.35833942797608e-15        2.8300073135713e-15
23041          4.55945622742043e-15        1.25778102825391e-15
23117          2.04389417091261e-15        3.45889782769826e-15
23193          7.07501828392825e-15        4.55945622742043e-15
23269          2.04389417091261e-15        6.28890514126956e-16
23345          9.43335771190434e-16        3.14445257063478e-16
23421          1.41500365678565e-15        6.4461277698013e-15
23497          1.57222628531739e-15        6.4461277698013e-15
23573          5.18834674154738e-15        4.08778834182521e-15
23649          2.98722994210304e-15        7.86113142658695e-16
23725          3.14445257063478e-15        7.86113142658695e-15
23801          2.67278468503956e-15        1.33639234251978e-14
23877          6.76057302686477e-15        1.41500365678565e-15
23953          2.98722994210304e-15        9.43335771190434e-16
24029          4.55945622742043e-15        2.35833942797608e-15
24105          5.03112411301565e-15        1.57222628531739e-15
24181          2.98722994210304e-15        5.97445988420608e-15
24257          7.07501828392825e-15        5.81723725567434e-15
24333          1.25778102825391e-14        6.28890514126956e-16
24409          2.67278468503956e-15        5.34556937007912e-15
24485          1.57222628531739e-16        3.45889782769826e-15
24561          2.51556205650782e-15        2.20111679944434e-15
24637          6.28890514126956e-15        3.14445257063478e-15
24713          1.88667154238087e-15        2.8300073135713e-15
24789          6.28890514126956e-16        2.20111679944434e-15
24865          7.23224091245999e-15        1.41500365678565e-15
24941          2.67278468503956e-15        8.80446719777738e-15
25017          6.60335039833303e-15        1.41500365678565e-14
25093          6.4461277698013e-15        6.76057302686477e-15
25169          3.14445257063478e-15        1.14772518828169e-14
25245          8.4900219407139e-15        7.07501828392825e-15
25321          1.25778102825391e-15        1.72944891384913e-15
25397          3.30167519916652e-15        4.71667885595217e-15
25473          6.28890514126956e-16        5.03112411301565e-15
25549          7.38946354099173e-15        4.71667885595217e-16
25625          6.91779565539651e-15        1.11628066257535e-14
25701          3.61612045623e-15        5.34556937007912e-15
25777          1.57222628531739e-16        3.14445257063478e-16
25853          7.38946354099173e-15        1.30494781681343e-14
25929          3.77334308476173e-15        4.24501097035695e-15
26005          5.18834674154738e-15        3.14445257063478e-15
26081          7.86113142658695e-16        6.13168251273782e-15
26157          2.20111679944434e-15        3.45889782769826e-15
26233          1.00622482260313e-14        6.91779565539651e-15
26309          7.54668616952347e-15        1.41500365678565e-15
26385          5.34556937007912e-15        8.96168982630912e-15
26461          1.88667154238087e-15        5.18834674154738e-15
26537          5.34556937007912e-15        2.35833942797608e-15
26613          3.45889782769826e-15        1.10055839972217e-15
26689          1.10055839972217e-15        3.14445257063478e-16
26765          1.72944891384913e-15        2.20111679944434e-15
26841          4.71667885595217e-16        5.6600146271426e-15
26917          1.72944891384913e-15        2.35833942797608e-15
26993          6.76057302686477e-15        1.25778102825391e-15
27069          1.72944891384913e-15        3.45889782769826e-15
27145          9.43335771190434e-16        7.86113142658695e-16
27221          5.81723725567434e-15        9.74780296896781e-15
27297          5.34556937007912e-15        3.30167519916652e-15
27373          1.16344745113487e-14        3.61612045623e-15
27449          4.71667885595217e-16        3.14445257063478e-15
27525          1.10055839972217e-15        6.28890514126956e-16
27601          9.59058034043607e-15        5.6600146271426e-15
27677          6.13168251273782e-15        4.08778834182521e-15
27753          7.86113142658695e-15        5.34556937007912e-15
27829          8.33279931218216e-15        2.51556205650782e-15
27905          1.25778102825391e-15        1.25778102825391e-15
27981          2.51556205650782e-15        3.45889782769826e-15
28057          3.61612045623e-15        1.25778102825391e-15
28133          9.2761350833726e-15        5.97445988420608e-15
28209          3.93056571329347e-15        7.07501828392825e-15
28285          5.6600146271426e-15        1.43072591963882e-14
28361          1.57222628531739e-16        1.28922555396026e-14
28437          4.24501097035695e-15        8.17557668365042e-15
28513          4.24501097035695e-15        1.11628066257535e-14
28589          6.28890514126956e-16        3.77334308476173e-15
28665          6.13168251273782e-15        4.24501097035695e-15
28741          2.98722994210304e-15        1.30494781681343e-14
28817          3.14445257063478e-16        5.03112411301565e-15
28893          1.58794854817056e-14        2.67278468503956e-15
28969          3.14445257063478e-15        4.87390148448391e-15
29045          3.61612045623e-15        1.49361497105152e-14
29121          5.18834674154738e-15        2.98722994210304e-15
29197          3.61612045623e-15        1.25778102825391e-15
29273          2.8300073135713e-15        2.67278468503956e-15
29349          7.38946354099173e-15        1.19489197684122e-14
29425          5.34556937007912e-15        2.35833942797608e-15
29501          2.20111679944434e-15        5.18834674154738e-15
29577          4.87390148448391e-15        5.34556937007912e-15
29653          7.70390879805521e-15        6.4461277698013e-15
29729          6.4461277698013e-15        1.19489197684122e-14
29805          1.00622482260313e-14        6.13168251273782e-15
29881          4.40223359888869e-15        1.88667154238087e-15
29957          1.41500365678565e-15        3.30167519916652e-15
30033          1.41500365678565e-15        1.24205876540074e-14
30109          3.93056571329347e-15        4.71667885595217e-16
30185          5.50279199861086e-15        4.08778834182521e-15
30261          1.10055839972217e-15        5.6600146271426e-15
30337          6.28890514126956e-15        6.28890514126956e-15
30413          1.72944891384913e-15        3.14445257063478e-15
30489          9.43335771190434e-15        3.61612045623e-15
30565          1.72944891384913e-15        9.43335771190434e-16
30641          6.4461277698013e-15        1.10055839972217e-15
30717          3.61612045623e-15        3.30167519916652e-15
30793          4.55945622742043e-15        3.30167519916652e-15
30869          9.90502559749955e-15        8.80446719777738e-15
30945          7.07501828392825e-15        1.25778102825391e-15
31021          2.20111679944434e-15        1.57222628531739e-15
31097          4.71667885595217e-15        2.20111679944434e-15
31173          6.28890514126956e-15        4.55945622742043e-15
31249          4.40223359888869e-15        9.2761350833726e-15
31325          1.57222628531739e-16        1.25778102825391e-15
31401          3.93056571329347e-15        1.10055839972217e-15
31477          2.51556205650782e-15        9.43335771190434e-16
31553          5.6600146271426e-15        8.01835405511868e-15
31629          1.10055839972217e-15        7.86113142658695e-15
31705          8.64724456924564e-15        3.45889782769826e-15
31781          6.28890514126956e-15        7.23224091245999e-15
31857          5.03112411301565e-15        5.03112411301565e-15
31933          4.71667885595217e-15        5.50279199861086e-15
32009          1.25778102825391e-15        2.51556205650782e-15
32085          4.71667885595217e-16        3.14445257063478e-16
32161          9.43335771190434e-16        7.07501828392825e-15
32237          8.4900219407139e-15        4.24501097035695e-15
32313          1.57222628531739e-15        2.04389417091261e-15
32389          4.08778834182521e-15        2.51556205650782e-15
32465          5.6600146271426e-15        3.14445257063478e-16
32541          4.71667885595217e-15        1.25778102825391e-15
32617          1.03766934830948e-14        7.23224091245999e-15
32693          2.04389417091261e-15        2.35833942797608e-15
32769          3.45889782769826e-15        6.60335039833303e-15
32845          1.25778102825391e-15        5.97445988420608e-15
32921          2.04389417091261e-15        1.30494781681343e-14
32997          3.93056571329347e-15        5.34556937007912e-15
33073          6.28890514126956e-16        1.446448182492e-14
33149          2.04389417091261e-15        1.72944891384913e-15
33225          0        5.03112411301565e-15
33301          3.61612045623e-15        7.70390879805521e-15
33377          4.08778834182521e-15        2.35833942797608e-15
33453          4.08778834182521e-15        7.86113142658695e-16
33529          7.70390879805521e-15        9.43335771190434e-16
33605          5.81723725567434e-15        4.71667885595217e-16
33681          1.25778102825391e-15        7.23224091245999e-15
33757          7.54668616952347e-15        7.07501828392825e-15
33833          1.88667154238087e-15        3.77334308476173e-15
33909          8.4900219407139e-15        6.28890514126956e-15
33985          6.28890514126956e-16        1.27350329110709e-14
34061          8.4900219407139e-15        3.14445257063478e-16
34137          1.41500365678565e-15        4.55945622742043e-15
34213          6.60335039833303e-15        1.14772518828169e-14
34289          1.88667154238087e-15        2.51556205650782e-15
34365          3.30167519916652e-15        5.6600146271426e-15
34441          1.72944891384913e-15        6.4461277698013e-15
34517          3.93056571329347e-15        1.0219470854563e-14
34593          2.8300073135713e-15        4.71667885595217e-16
34669          7.23224091245999e-15        9.43335771190434e-15
34745          2.8300073135713e-15        4.24501097035695e-15
34821          4.08778834182521e-15        7.07501828392825e-15
34897          5.18834674154738e-15        1.05339161116265e-14
34973          5.34556937007912e-15        5.6600146271426e-15
35049          1.10055839972217e-15        3.61612045623e-15
35125          1.50933723390469e-14        3.14445257063478e-16
35201          1.57222628531739e-16        4.87390148448391e-15
35277          4.24501097035695e-15        3.14445257063478e-16
35353          4.71667885595217e-16        8.01835405511868e-15
35429          5.34556937007912e-15        8.01835405511868e-15
35505          6.28890514126956e-16        4.55945622742043e-15
35581          3.14445257063478e-16        7.86113142658695e-15
35657          6.4461277698013e-15        2.98722994210304e-15
35733          1.06911387401582e-14        1.11628066257535e-14
35809          5.81723725567434e-15        4.24501097035695e-15
35885          6.13168251273782e-15        5.18834674154738e-15
35961          2.51556205650782e-15        2.67278468503956e-15
36037          3.77334308476173e-15        2.67278468503956e-15
36113          7.86113142658695e-16        4.40223359888869e-15
36189          2.8300073135713e-15        2.8300073135713e-15
36265          4.55945622742043e-15        3.93056571329347e-15
36341          1.10055839972217e-15        7.86113142658695e-16
36417          2.98722994210304e-15        5.97445988420608e-15
36493          3.14445257063478e-15        4.71667885595217e-16
36569          1.88667154238087e-15        3.30167519916652e-15
36645          9.43335771190434e-16        2.04389417091261e-15
36721          6.13168251273782e-15        3.14445257063478e-15
36797          1.57222628531739e-16        4.40223359888869e-15
36873          1.16344745113487e-14        5.34556937007912e-15
36949          4.71667885595217e-16        3.93056571329347e-15
37025          5.03112411301565e-15        2.8300073135713e-15
37101          1.084836136869e-14        6.13168251273782e-15
37177          6.4461277698013e-15        7.70390879805521e-15
37253          7.07501828392825e-15        2.67278468503956e-15
37329          5.50279199861086e-15        2.51556205650782e-15
37405          2.04389417091261e-15        6.28890514126956e-15
37481          4.24501097035695e-15        1.10055839972217e-15
37557          5.03112411301565e-15        1.084836136869e-14
37633          0        2.51556205650782e-15
37709          4.71667885595217e-15        8.33279931218216e-15
37785          1.88667154238087e-15        1.57222628531739e-16
37861          1.57222628531739e-16        2.35833942797608e-15
37937          1.00622482260313e-14        3.45889782769826e-15
38013          2.20111679944434e-15        4.08778834182521e-15
38089          1.57222628531739e-16        8.96168982630912e-15
38165          8.64724456924564e-15        1.41500365678565e-15
38241          1.30494781681343e-14        2.20111679944434e-15
38317          4.08778834182521e-15        1.57222628531739e-16
38393          2.04389417091261e-15        4.71667885595217e-15
38469          7.23224091245999e-15        6.28890514126956e-16
38545          4.87390148448391e-15        3.14445257063478e-15
38621          6.28890514126956e-16        1.43072591963882e-14
38697          4.87390148448391e-15        2.8300073135713e-15
38773          6.13168251273782e-15        1.72944891384913e-15
